teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
751194,60111286.0,12659.0,MARLIN_9,NST1,1,Closed,dampsse_inservice,2025-11-01 18:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.5731,Closed,1.0
485044,60111945.0,7930.0,TOPAZ_G10,TOPAZ_8,T0,Closed,dampsse_inservice,2021-08-13 12:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9998,Closed,1.0
327084,60111471.0,4486.0,JONCRK__B345,JONCRK_A1STR,A1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9995,Closed,1.0
676340,60112016.0,11688.0,CRAWFISH_W1,CRAWFISH_8,T1,Closed,dampsse_inservice,2024-03-08 11:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9965,Closed,1.0
459973,60011416.0,7937.0,SOLSTICE4A,SOLSTICE7A,T2,Closed,dampsse_inservice,2020-12-12 14:04:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,energization_outage,default,ok,clear_majority,Closed,0.9811,Closed,1.0
279147,60112109.0,4558.0,KING__KINGNW,KING_NW_1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9922,Closed,1.0
279084,60009957.0,6095.0,NACOGDSE_8,NCDSE1_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_latest_id,default,default,ok,clear_majority,Closed,0.91,Closed,1.0
280281,60040084.0,4393.0,INGLCOSW_STG,INGLCOSW4A,3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,no_pto_data,Closed,1.0,,
58390,60111713.0,,LOBO7A,LOBO4A,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_latest_id,default,default,evidence_dropped_wrong_device,clear_majority,Closed,0.9903,Closed,1.0
307142,60111421.0,2885.0,GRNBYU__B345,GRNBYU_A2STR,A2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_fuzzy_match,default,default,ok,clear_majority,Closed,0.9884,Closed,1.0
